 1/2" NPT/M20x1,5
MALE BSPP X FEMALE SAE O-RING
Male pipe.1/2 NPT f. 12 tube
Male x Female Red. Bushing 1/2
male-female / 1/2"NPT
MAMI type20x1/2"NPT/see int.comm
MAMI type22x3/4"NPT/see int.com.
Mancal 5 and 6
MANCAL 6 MATERIAL: EN GJL 300
Mancal 9 and 10
MANCAL: 1
MANCAL: 10
MANCAL: 11
MANCAL: 12
MANCAL: 13
MANCAL: 14
MANCAL: 15
MANCAL: 2
MANCAL: 3
MANCAL: 4
MANCAL: 5
MANCAL: 6
MANCAL: 7
MANCAL: 8
MANCAL: 9
MARATHON 1HP MTR 460V 1800RPM
Masch.Nr.BS-9927
massive
max.working temp.120ºC
MB-10
MB-11A/(Int.Ø 55mm)
MB-12 (Int.Ø 60mm)
MB-13(Int.Ø 65mm)
MB-16A/Internal Diameter 80
MB-17A (ØInternal 85)
MB-19/Øint.:95mm
MB-22
MB-24 (ØInternal 120)
MB-27
MB-29 (ØInternal 145)
MB-32
MB-4(Int.Ø 20mm)
MB-4/Internal Ø20mm
MB-5(Int.Ø 25mm)
MB-6/Int.Ø=30mm
MB-7 (ØInternal 35mm)
MB-9 (DIAM.INT.45)
MB-9A (ØInternal 45)
MBL-30
MC6 X 16.3
MDM0377 POS 72
MDM-1518/MDM-1518/2156/2526
MEASURES “d”/“D”ACC.iFD STATOR
measures H=355;H1=138;ØD=244,5
mec.seal simple cartridge 5610VQ
Mech. Seal / Lip Seal execution
Mech. Seal JC balanced 58B 55mm
mechani seal/lip seal execution
mechanical seal
mechanical seal/internal bearing
mechanical seal/special
MED 80x105x11mm
METRIC
metric/1F 1C f. wire 50mm²
MG DN80;35mm;250IEC
MG1 G60
MG1/065-G60
MG1/16-G4
MG1/90 + flushing
MG1/G60
MG1/G60-043/LIP SEAL EXEC.
MG1/G60-055 / G=1/4"BSP
MG1/G60-065/1/4"NPT and 1/2"NPT
MG1/G60-070/inverted w.quench
MG1/G60-85 / G=1/4"BSP
MG1-085/G60/outside w.quench
MG1-100/G60/external/ w.quench
MG1-100/G60/outside w.quench
MG1-70/G60
MG1-G6/G60-Ø035/G=1/8"NPT
MG1-G60
MG1-G60 BTB
min p=0/5bar/VLN140
min.press.:10,5A/max.press.:15
min/max press.=10,5-15bar/VLN126
min/max press=0/1,2/VLN140
min/max press=10,5-15/VLN48
min/max press=10/15/VLN96
min/max press=2,3/4,4/VLN70
min/max press=2/6/VLN164
min/max press=3,2/7,3/VLN126
min/max press=4/6/VLN96
min/max pressure:0-16bar
min/max pressure:0-16bar/special
min/max pressure:0-4,5bar
min/max pressure:3-8bar
min/max pressure:5-7bar/VLN48
min/max pressure:7-15bar
min/max pressure=0A - 12.0 bar
min/max pressure=11,5-16,6/VLN70
min/max pressure=13-18,9 bar
min/max pressure=1-4 BAR
min/max pressure=2-5 BAR
min/max pressure=6-10bar/VLN96
min/max pressure=6-9 bar
min/max pressure=7,1-10 BAR
MINEX 135(PEEK)/ATEX/C.Shroud
MINEX SC 135/20/SHRD/RING/157P
MINEX SD 135/20/45x2.125.PEEK/M6
MINEX SD 135/20/EX/110L
MINEX SD 135/20/IN/20/CB/110L
MINEX135/20/ST/2.125/.500/SS/92L
mini execution
mini execution/special
MINI; MODELO LFR-3
MMA 1/2 NPT X 1/2 BSP
MOD. LN: VLN30
MOD. STD. NM038 TRAP. BASEPLATE
MOD.NM090BY02S14K.FSIP.3
model  NM-053-NMP5066503
Model 341
model 4945148
model 4945149
model 4945150
model 4945151
model 4945152
model 4946803
Model 6307 AV /A=5/B=44,45/C=4mm
model AZMF-11-005UABXXMB-SO376
model D-11
model D-3
model E=112/see inter. comment
model E-112
model E-194
MODEL E5CN
MODEL E5CSV
model E-97
model H-168
model NB 4324574
model NB 4324717
model NB 4656659
model NB 4656703
model NB 4656706
model NB 4949252
model NB4324716
model NB4651871 (ident. 4651871)
model NB4656856/w.certificate
model NB4663446/w.certificate
model NB4663447/w.certificate
model NB4663448/w.certificate
model NB4663449/w.certificate
MODEL NDB4914395
model NM 214 4651542
Model NM-021-NMP5066511
Model NM038 4930212
Model NM053 4930858
model number 4655271
model number 4655272
model number 4656742
model number 4656743
model number 4658900
model number 4658902
model number 4659166
model number 4659167
model QSF-F-G1/4-8/code 15302
model QSM-1/8-6-I/code 153318
model SP/65x1,7 mm
model SW/50x1,5mm
model SW/75x2,00mm
model: 3NS MINI generation 2
Model: D-5
Model: D-6
model: LFSN 6F AC 10B P K
model: NM N80-2:05/0
model: NM011 892900
model: NM011 NDB4909968
Model: VSM-38-S16
Model: VSM-48-S16
Model: VSM-62-S16
Model: VSM-78-S16
MODEL:7PQ11U22/90,00 VVGG
MODELS: 3NS 25/25; 3NS 41/25
modular execution/uniform stat.
MOLD Nº 0124
mold nº0051
mold nº0124/fig.602.60
mold number 0038
mold number 0226
MOTOR (HOUSING): 90L
motor 132
motor 160
motor 213TC
MOTOR 254T
motor 284T/ROTEX 38
motor 286TC
motor 324/6 TC - ROTEX 42
motor 326TC
motor 364/5T/flange C-DIN
motor frame 132M
motor frame 132S
motor nema 182/4 TC
motor nema 213/5 TC
motor nema 213/5 td
motor nema 215 TC
motor nema 254 TD
motor nema 254/6 TC
motor nema 254/6 TD
motor nema 284 TC
motor nema 284/6 TD
motor nema 284TC
motor nema 324 TC
motor nema 324/6 TC
motor nema 324/6 TD
motor nema 364/5 TC
mould 0321/f.joint B w.seal SM
mould 0348/f.joint B w.seal SM
mould Nº 0050
mould nº 0314
mounted
mounted/w. o-ring
MPPE CABLE 10M Long
MULTI-CONDUCTOR, 100FT LG
Multi-Lobe 5:6
multipurpose epoxy
N.MAC 120C 3/7YA 1
N.MAC 150I 7/7YA 1 C7 B2
N.MAC 150I 7/7YA 1 C7J
N.MAC 150I 7/7YA 1 C7L
N.MAC 250C 3/5YA 1
N.MAC 350I
N.MAC 400C 3A/3AYA 1 C5
N.MAC 50C
N.MAC 50C 3/7YA 1
n/a
N11-30
N120
N140TC
N150
N20
N30
N40
NA 90 I=1:4,33 FC-B5 NEMA 1
NA-1002
NACHSTELLBAR AUSF.C
NBE200 - BASIC
NBE200/NM031BY
ND100, 107.3 PSIG
ND100, 58 PSIG
NDB project with improvement
NDB/NPS project
NDH060DH20(CAPSA)
NDH060DH20/Ø48 F.ROD 1.1/2"
NDH060DH20HB
NDH060DH20-HB/SPECIAL
NDH060DH33-HB
NDH060DS20
NDH060RH33
NE 120 MATERIAL: SBBPF
NE 150 MATERIAL: EP
NE40~NE69/NM038-NM063
NE80A 2.75 TYPE 1 SINGLE
NEC 20A
NEC30A
NELS50
NEMA 210T/IEC 132 FRAME
NEMA 324/6
NEMA 324/6; 2/4 POLE
NEMA 4X
NEMA-250TC
NETZSCH GREEN
NETZSCH GREY
new bearing execution
new design
new design 3NS
new design/see inter. comment
new design/special
new execution
new number: 8041169
NEW PLATFORM
NF 7/8/unit item/f.teteflex D-15
NJ213 EC
NK 25/20
NKI 32/30/Ø32,0x47,0x30,0mm
NKI 50/35 / Ø50,0x68,0x35,0mm
NKI 65/35/Ø65,0x90,0x35
NKI 75/35/Ø75,0x105,0x35
NL 60 "A"/L=94mm
NM 180
NM003
NM005
NM008
NM008BY03S12B
NM008BY06S36
NM011
NM011 MATERIAL AISI 420
NM011-A
NM011BH-S/LP
NM011CY03S18F
NM011-S
NM015
NM015/21SH-B
NM015/NM005BY06S12
NM015/NM011BY02S12
NM015B/S/NM021B/S(P)
NM015CY01L08F
NM021
NM021--02S
NM021BY-FSIP CUT AWAY MODEL
NM021--H---12
NM031
NM031 4930205
NM031B (P)
NM031B/S/(P)
NM031BH01L06H-06
NM031BH02S12F
NM031BH04S24F (P)
NM031BY01L06F (P)
NM038
NM038/DN50/DIN EN1092-1/PN16
NM038/DN50/DIN EN1092-1/PN16/FF
NM038/GA=295/f.protective sleeve
NM038/MG1/G60
NM038/sanitary connection 2"
NM038B SINGLE NON-CART.
NM038BY01L06B-000IFD
NM038S
NM038SH
NM045
NM045 4930857
NM045/GA=295/f.protective sleeve
NM045BY02S14V/01L07V/02L08V
NM045SH01L06H-01
NM045SO
NM053
NM053--02S
NM053B-(P)/inverted
NM053B/S 55MM SI/SI
NM053B/S/(P)
NM053BY01LO7V
NM053BY02S14V/01L07V/02L08V
NM053-S/see internal comments
NM053SY
NM053SY-07
NM063
NM063 4930401
NM063 D+4
NM063B/S 65MM TYPE 5610 TC/C
NM063B/S/(P)
NM063BO-12 S/L
NM063BY
NM063BY-(WP-FSIP)/TRAPEZOIDAL
NM063BY01L/02S
NM063BY02S14V/01L07V/02L08V
NM063SY
NM076
NM076 ADAPTER
NM076/ANSI B16.5 300 PSI 3" RF
NM076-01L06/02S12
NM076B (P) F.GLRD H-39
NM076B-(P)/inverted
NM076BY02S14K/01L07K/02L08K
NM076BY02S14V/01L07V/02L08V
NM076BY02S--K/01L--K
NM076BY-NEMA 215TC
NM076-F-12/750 X 362
NM090
NM090 085 MG1-G60 INVERTED
NM090B-(P)/inverted
NM090BY02L08
NM090BY02S14K/01L07K/02L08K
NM090BY02S14V/01L07V/02L08V
NM105
NM105 4930861
NM105B/S 100MM TYPE 5610 TC/C
NM105BY02S14K/01L07K/02L08K
NM105-L/UM20
NM105SY-14K/4N120
NM125
NM125S - Special
NM125SY02S14Z/01L07Z/02L08Z
NM148
NM148SF04S18Z
NM148SY02S14Z/01L07Z/02L08Z
NM180
NM90/6"ANSI/B16.5/150LBS/RF
NMAC 120C
NMAC 120C/250C
NMAC 250C
NMS-KU115SO
NMS-KU150S1
NO ADDITIONAL CLEARANCE
no channels f. intermed. o-rings
no drilling
no hole for oil return
no oil return/special
nom.pipe.size:1.1/2"/ASME B16.20
nom.pipe.size:1/2"/ASME B16.20
nom.pipe.size:2"/ASME B16.20
nom.pipe.size:2.1/2"/ASME B16.20
nom.pipe.size:4"/ASME B16.20
nom.pipe.size:6"/ASME B16.20
NOMINAL 100MM / DE 1
nominal Ø 166
nominal Ø 238
nominal Ø 278
NOMINAL: 1
NOMINAL: 1.1
NOMINAL: 3
NOMINAL: 3".
Nºmol.0314
NON-INTEGRATED SHAFT SLEEVE
NORD 1.0HP MOTOR 460V 1730 RPM
NORMEX E-168
NOT SUITABLE F.HYGIENIC APP.
NOT SUITABLE FOR HYGIENIC APP.
not use/replaced by item 4825971
NP 15A
NPA special
NPS 8"/ASME B16.5/150/FF/special
NPS12/ASME B16.5/#150/FF/Special
NPS3/ASME B16.5/#150/FF/3 drains
NPT
NPT 1"
NPT 1/2Z
NPT 1/4"
NPT ADAPTER M32X1.5/1 INCH NPT
NPT C/FLUSHING HJ977
NPT1" thread at ends
NPT3/4"
NS27 I=4,27 N=411RPM M1
NS37/I=7,44/236RPM/2,20KW/60HZ
NS57/I=10,79/163RPM/3,70KW/60HZ
NS57/I=9,31/N=189RPM/5,50KW/60HZ
NS77. 274RPM, 20HP, IP55
NSF/ANSI 61 CERTIFIED
NSO 215
NSO1432/with support ring
NT 6.5/8"X2.7/8"EU/see int.comm.
NT 6.5/8"X3.1/2"EU/see int.comm.
NT 7"X3.1/2"EU/see int.comments
NT086--------M
NT20B-08
NTP240SH1.1
NTZ...ST3.6
NTZ166*180ST1.1
NTZ238*...ST3.6
NU 1030 ML
NU 209
NU 2207 C3
NU 2216 C3
NU 2305 ECP C3
NU 2306 ECP C3
NU 2308 ECP C3
NU 313ECP
NU208-E-XL-TVP2
NUEC
NU-M
NUP 226 AV
NX506-NM031
NX545
NX548
NX553
NX557-NM105
NX559
NX582
NZF255M1085
Ø ext. 140/Ø int. 68/ special
Ø ext. 148/Ø int. 85/ special
o Range: -30" Hg-0-20 PSI
Ø:1"x4FT/conec. 7/8"PIN API-11B
Ø=100mm
Ø=14mm
Ø=18mm/single/component type
Ø=18mm/special
Ø=20mm/simple effect
Ø=30mm/simple effect
Ø=40mm/effe. single/type2100/040
Ø=40mm/simple effect
Ø=45/cartridge type:45-35mm ES
Ø=45mm/simple effect
Ø=45mm/special
Ø=50mm/simple effect
Ø=50mm/special
Ø=60/ext.Ø=75/thick.=8mm
Ø=60mm/simple effect
Ø=60mm/single
Ø=65mm/single/component type
Ø=70mm
Ø=70mm/single/component type
Ø=70mm/type:cartridge/single
Ø=80mm/single/type: component
Ø100
Ø100/555PRJ/single/special
Ø100/API 13/65/cartridge
Ø100/f. seal HJ977GN
Ø100/f.seal MG1-G60
Ø100/G60
Ø100/MG1-G60/G=1/4" NPT
Ø100/see internal comments
Ø100/single
Ø100/standard seal
Ø100; see int. comm.
Ø100;f.HJ977GN;G=1/4" NPT
Ø100;f.HJ977GN;G=1/4"NPT
Ø100;f.MG1-G60/G=1/4" NPT
Ø100;f.MG1-G60;G=1/4" NPT
Ø100mm/cartridge type
Ø100x50 MM
Ø100xØ120x3,7mm
Ø1040,00mm
Ø105/special
Ø106/133x1,0mm
Ø106/133x1mm/see int.comments
Ø10m6 X 50mm
Ø11
Ø112x53,00mm/Int.Ø:50,00mm H9
Ø114/164X2,0/see int.comments
Ø115
Ø115/see internal comments
Ø115mm
Ø115mm/see internal comments
Ø118/146X2,0/see int.comments
Ø118/146x2mm/see int.comments
Ø12,7/SRS0212.7DP
Ø12/light series/max pres.250BAR
Ø120 x 0,8 (mm)
Ø120.5MM DRILL/M8 SCREW/1.93MM
Ø120/special
Ø120X3 - 9,80
Ø12M6x50,00mm
Ø139/0,8mm
Ø14
Ø140,8xØ68mm
Ø148/special
Ø148xØ85mm
Ø14m6 x 60
Ø14x50,00mm
Ø15
Ø15,0x2,00/A=136,0
Ø150
Ø150/CARTRIDGE TYPE
Ø151/0,8mm
Ø152,40mm
Ø156/special
Ø158/Ø80x55mm / z=28; left
Ø158/Ø80x55mm / z=28; right
Ø158/Ø84x55mm / z=28; left
Ø158/Ø84x55mm / z=28; right
Ø16 / MILÍMETROS
Ø16/single/see intern. comment
Ø160X3,00mm
Ø160x5,00mm
Ø165
Ø169
Ø16m6 X 70mm
Ø16m6x70mm
Ø16x60mm
Ø175,00mm/see internal comments
Ø176/Ø145/0,8mm
Ø178x9,52 /special f.coupling Z
Ø18
Ø18/2100 component
Ø180
Ø180/01-M74/190-00 EX
Ø180/single/5555PRVIM 8B1
Ø185/Ø100/1mm
Ø186,4/Ø87,2/1mm
Ø186,4/Ø87,2/see int.comments
Ø19/SRS0319DP
Ø196
Ø2 1/2" x 4,76 x 108 x 80
Ø20
Ø20 / MILÍMETROS
Ø20/5555PRVIM
Ø20/API cod.USPFN/spec.
Ø20/HANSA-FLEX SRS 0320 AL
Ø20/single/5555PRV/API 11/61
Ø200/Ø166,5/1mm
Ø200mm
Ø20M6x70,00mm
Ø20mm//configuration: single
Ø20MM/seeinternal comment
Ø20mm/simple effect
Ø20mm/single
Ø210mm
Ø22/API 13/66A/cartridge
Ø22/HANSA-FLEX SRS 0322 AL
Ø23,00x2,00mm
Ø230mm
Ø232/see internal comment
Ø24,0x2,0x25,0x8,0
Ø249mmx290mmx3mm
Ø24x1,2mm
Ø25
Ø25/API cod.USPFP/spec.
Ø25/API cod.USPXP/spec.
Ø25/API cod.USPXX
Ø25/G=1/8" NPT
Ø25/MG1-G60
Ø25/simple effect
Ø25/single/see intern. comment
Ø25/standard seal
Ø25;f.M7N
Ø25;f.MG1-G60
Ø25;f.MG1-G60;G=1/8" NPT
Ø25;f.MG1-G60;G=1/8"NPT
Ø25;f.MG1-G60;G=NPT 1/8"
Ø25;f.NDB-WC3
Ø25;f.SHJ97GS15-G60;G=1/8" NPT
Ø25;f.SHJ97GS15-G60;special
Ø25;MG1-G60
Ø25;MG1-G60;G=1/8"BSP
Ø25mm
Ø25mm / config.: single
Ø25mm//configuration: single
Ø25mm/NPA execution/special
Ø25mm/simple effect
Ø26
Ø26/double effect
Ø26/f.mech.seal double effect
Ø26/special
Ø26/standard/pump NT066
Ø26/standard/pump NT066/NDB
Ø26; Nut für Abschlussring
Ø265/240x3mm
Ø265/240x6mm
Ø275
Ø28,25j6 x 160,00 mm
Ø28/special
Ø289,00mm
Ø28mm
Ø28mm/API13/61/cartridge
Ø290/see internal comments
Ø290mm
Ø292x586mm/"8".measure:Ø116,28mm
Ø295x200x1,5/see int.comments
Ø298
Ø3" x 4,76 x 113 x 90
Ø30/API cod.USPFN/spec.
Ø30/sigle/component
Ø30/simple componente
Ø30;f.MG1-G60;G=1/8"NPT
Ø300mm
Ø300mm/special
Ø305x5,5mm
Ø30mm
Ø30MM/API 13/66A/cartridge
Ø31
Ø31/ APZ 3.1 EN10204
Ø33,4/HANSA-FLEX SRS 5033.7 AL
Ø34
Ø34/f.double-effect mechan. seal
Ø34mm
Ø35
Ø35,25h5 x 200,00 mm
Ø35/API cod.USPFP/spec.
Ø35/MG1-G6,MG1-G60
Ø35/MG1-G60
Ø35/MG1-G60/SPECIAL
Ø35/SIMPLE COMPONENTE
Ø35/simple effect
Ø35/single
Ø35;f.MG1-G60;G=1/8" NPT
Ø35mm
Ø35mm / config.: single
Ø35mm//configuration: single
Ø35mm/API13/61/cartridge
Ø35mm/single
Ø36
Ø37/29x2mm/mold n°0196
Ø375,00mm
Ø38x55/see internal comment
Ø39
Ø39/78
Ø39/78 / special
Ø3x10mm
Ø4,375/COD: MDM0482
Ø40
Ø40 /API: USPXP
Ø40/184x2/see int.comments
Ø40/API cod.USPFP/spec.
Ø40/API cod.USPFX/spec.
Ø40/CARTRIDGE TYPE
Ø40/MG1/G60 / 1/8"-1/8"NPT
Ø40/see internal comments
Ø40/SIMPLE COMPONENTE
Ø40/simple effect
Ø40;f.MG1-G60;G=1/8" NPT
Ø40;M7N;G=1/8" NPT
Ø400,00mm
Ø400mm
Ø406mm/thickness 0,8mm/"8":105mm
Ø40mm
Ø40mm/API53B/cartridge
Ø40mm/configuration single
Ø40mm/see internal comments
Ø40mm/simple componente
Ø42/w.screws f.fixing the pulley
Ø43
Ø43/API cod.USPFP/spec.
Ø43/cartridge/see.intern.comment
Ø43/f. seal MG1-G60 / special
Ø43/MG1-G60
Ø43/MG1-G60/G=1/8" BSP
Ø43/SIMPLE COMPONENTE
Ø43/standard seal
Ø43;f.HJ977GN
Ø43;f.MG1-G60;G=1/4" NPT
Ø43;f.MG1-G60;G=1/4"NPT
Ø43;MG1-G60;G=1/4" NPT
Ø435/see internal comments
Ø435mm/thick:1mm/"8"size:105mm
Ø43mm/sinlge effect/special
Ø45
Ø45/58U component
Ø45/API: USPFX/NDB-WC3/045VR
Ø45/see internal comment
Ø45/single/special
Ø45mm
Ø45mm//configuration: single
Ø45mm/cartriged
Ø45mm/simple componente
Ø45x2,00mm
Ø46
Ø46/double effect (knife)
Ø46mm/double-effect knife
Ø47/37x2mm
Ø48/w.screws f.fixing the pulley
Ø4x12mm
Ø4x14mm
Ø4x30mm
Ø5/see internal comments
Ø50
Ø50/58U/s. inter. comment
Ø50/API USPFX
Ø50/DOUBLE
Ø50/QUENCHE
Ø50/simple effect
Ø500,00mm
Ø500x48mm
Ø500x50mm
Ø50mm / config.: single
Ø50mm//configuration: single
Ø50mm/height=20mm/screw=M10
Ø50mm/height=20mm/screw=M10x20
Ø52
Ø522mm
Ø538mm
Ø54/108
Ø54/72X1,0/see int.comments
Ø55
Ø55 / MILÍMETROS
Ø55,00xØ72,00x8,00mm
Ø55//configuration: single
Ø55/API 02/61/cartridge/spec.
Ø55/API cod.USPFP/spec.
Ø55/f.seal MG1-G60
Ø55/MG1/G60 / 1/4"-1/8"NPT
Ø55/SIMPLE COMPONENTE
Ø55/simple effect
Ø55/W.QUENCH/G=1/4NPT
Ø55;f.MG1-G6,MG1-G60
Ø55;f.MG1-G60;G=1/4" NPT
Ø55;MG1-G60;Back to Back
Ø55mm//configuration: single
Ø55mm/configuration: single
Ø55mm/JC Cod:X F55 1 O58 1
Ø55xØ25x14
Ø57
Ø57mm
Ø580/SPECIAL
Ø6"/ASME.B-16.5/#150/RF.
Ø60
Ø60/89x1,0mm
Ø60/89x1,0mm/f.seal MG1-035/G60
Ø60/API 54/SB2S cartridge
Ø60/double-effect knife
Ø60/see internal comments
Ø60/simple effect
Ø60/simple effect knife
Ø60/simple/see int. comm.
Ø600/SEE INTERNAL COMMENT
Ø602mm
Ø60mm//configuration: single
Ø60mm/configuration: single
Ø60MM/DOUBLE-EFFECT QUENCH KNIFE
Ø60xL120
Ø61,4/80,00x1,00mm
Ø61,4/80X1,0/see int.comments
Ø61,4/80x1,0mm
Ø61,4/80x1mm/see int.comments
Ø61,5
Ø610/see internal comments
Ø610/SPECIAL
Ø618mm
Ø648/Ø490x2mm
Ø65
Ø65/48MP component
Ø65/API cod.USPFP/spec.
Ø65/f.seal MG1/065-G60/special
Ø65/MG1-G60/G=1/4" BSP/spec.
Ø65/single/5610VQ/special
Ø65/single/see interna comments
Ø65/standard seal
Ø65;f.HJ977GN;G=1/4"NPT
Ø65;f.MG1-G60;G=1/4" NPT
Ø65mm / config.: cartridge
Ø65mm//configuration: single
Ø65mm/single effect/special
Ø65mm/special
Ø66x3
Ø68/90x 1,0mm/f.seal MG1-043/G60
Ø68/90x 1mm/see int.comments
Ø680x60,5mm
Ø7
Ø70
Ø70,00xØ85,00x8,00mm
Ø70/58U component
Ø70/API 13/62/SPECIAL
Ø70/API cod.USPFP/spec.
Ø70/API: USPFN
Ø70/simple/see int. comm.
Ø70/single/5555PRV/special
Ø70/single/special
Ø70/special
Ø70;f.HJ977GN;G=1/4"NPT
Ø70;f.MG1-G60;G=1/4" NPT
Ø70mm
Ø70mm//configuration: single
Ø70mm/API53B/cartridge
Ø74
Ø74/w. undercut f. spring
Ø74mm
Ø75/single/5555PRV/API 11/62
Ø75mm/height=45mm/screw=M12
Ø78,00mm
Ø80/58U component
Ø80/96x1,0mm/external
Ø80/96x1mm/see int.comments
Ø80/API 13/61/SPECIAL
Ø80/API 13/62/SPECIAL
Ø82,8
Ø82/Ø35x28mm / z=24; left
Ø82/Ø35x28mm / z=24; right
Ø82/Ø36x28mm / z=24; left
Ø82/Ø36x28mm / z=24; right
Ø835mm
Ø85
Ø85 uNS930
Ø85/API682/plan 21/61/cartridge
Ø85/MG1-G60
Ø85/single/5610VQ
Ø85/standard seal
Ø85/uNS-SEAL 9XX
Ø85;f.HJ977GN;G=1/4" NPT
Ø85;f.MG1-G60
Ø85;f.MG1-G60/G=1/4" NPT
Ø85;MG1-G60;Back to Back
Ø85mm
Ø85mm/see internal comments
Ø85xØ110x12
Ø88x140x13mm
Ø9,5
Ø90
Ø90/f.double-effect mechan.seal
Ø905mm
Ø90mm
Ø90mm/configuration: single
Ø92/114x2,0mm
Ø92/114x2,0mm/f.seal MG1-065/G60
Ø92/114x2,0mm/see int.comments
Ø92/114x2mm/see int.comments
Ø94x3,00mm
Ø96/0,8mm
Ø96/special
ØA= 2; L=20
ØA= 2; L=25
ØA= 2; L=35
ØA= 2; L=50
ØA=152,4mm/ØB=215,9mm/C=2mm
ØA=485/ØD=169,5/C=25,4
ØA=52,6/ØB=92,1/C=2mm
OC LP0000062/TAG: 100-PX-001
OC-LP0000063/TAG: 100-PX-002
OC-LP0000064/TAG: 100-PX-003
OC-LP0000065/TAG: 100-PX-004
ØD= 12m6/L=50mm
ØD=10,1h8/L=90mm
ØD=10p6/L=50mm
ØD=12,2h8/L=90mm
Ød=12h8/L=53
ØD=12p6/L=50mm
Ød=14h8/l=63
ØD=14m6 ; L=60mm
ØD=14m6 L=60mm/std rotor
ØD=14p6/L=60mm
ØD=16p6/L=70mm
ØD=18m6/L=100mm
Ød=22/l=97
ØD=22p6/L=110mm
ØD=26m6/L=130mm
ØD=26p6/L=130mm
ØD=28p6/L=150mm
Ød=45 h8
Ød=6/l=24
Ød=8h8/l=34
Ød1=19mm
ØD1=25mm
ØD1=25mm/POS 5435
ØD1=25mm/POS 5440
Ød1=32/f. pneumatic motor
Ød1=54,00mm
Øext. 148/Øint. 130
Øext. 164/Øint. 130
Øext. 180/Øint. 145
Øexternal 214
Øexternal 298
ØHASTE 49
oil lub
oil lubrification
oil shell spirax S2 A-90
Øint.:60mm
Øint.:65mm
ØInt.105/MB-21
ØInt.35/MB-7A
ØInt.65/Gauge: MB-13A
ØInt.95/MB-19A
old drive stool
old project
old version(short)-discontinued
Omega Close Coupled Metric
OMEGA E20-M - 28MM X 35MM
OMEGA ES20-M
OMEGA ES30-M
OMEGA STD CPLG - E40-M SERIES
OMEGA STD CPLG - E60-M SERIES
Omega, 42mm Bore x 3.375" Bore
OMNITHANE - SERIES 1
OMS125-2B-32MM-#10SAE
OMS125-STDMOUNT-32MM-7/8-14SAE
One (1) replacement set
only f. fairs and events(in cut)
only f. magnectic coupling
only f.magnectic coupling/DST
only f.spare parts
only for fairs and events
OPPOSITE DRIVE END
original cod. 3C35-2B120-AB
O-ring COD. NDB4912070
O-ring COD.NDB4912069
ØROD 48.7/NDH060DH20
ØSHAFT
Øshaft 130mm/Øext.156mm
Øshaft 90mm/Øext.116mm
ØTube=10/cod.cast 113906
ØTube=10/line "L"
ØTube=10/serie L/cod.cast 615006
ØTube=12/form L
ØTube=20
ØTube=20/ajustab/cod.cast 615020
ØTube=20/cod.cast 113920
ØTube=22
ØTube=22/ajus.vertic./cast614610
Outer
outside
OXY 5002
P&D NDB/NPS tests
P/ MOTOR NEMA 254T
P03
P03; C1"
P03; C5/8"
P03; C7/8"
P04
P04; 5/8"
P04; 7/8"
P04; C1"
P04; C1.1/8"
P04; C3/4"
P04; C5/8"
P04; C7/8"
P04; Special
P05
P05; C1"
P05; C1.1/8"
P05; C7/8"
P06
P06; 3/4"
P06; 7/8"
P06; C1 1/8"
P06; C1"
P06; C1.1/8"
P06; C3/4"
P06; C5/8"
P06; C7/8"
P07; 4"NU; Stop Pin 3.1/2"NU
P07; C1"
P07; C1.1/8"
P07; C3/4"
P07; C5/8"
P07; C7/8"
P08
P08; C1 1/8"
P08; C1"
P08; C1.1/8"
P08; C1.3/8"
P08; C3/4"
P08; C5/8"
P08; C7/8"
P09; C1"
P09; C1.1/8"
P09; C3/4"
P09; C7/8"
P10
P10/special length
P10/TEST ACC.NDB147
P10; 2.7/8"EU; Stop Pin 2.7/8"EU
P10; C1"
P10; C1.1/8"
P10; C3/4"
P10; C7/8"
P10; R1.3/16"-7/8"
P10;2.7/8"EU; Stop Pin 2.7/8"EU
P11; C1"
P11; C1.1/8"
P112-14M-55-F HTD SPKT
P12
P12/1.1/16"-3/4"
P12/TEST ACC.NDB147
P12; 3.1/2"EU; Stop Pin 3.1/2"EU
P12; C1"
P12; C1.1/8"
P12; C3/4"
P12; C7/8"
P12;2.3/8"EU; Stop Pin 2.3/8"EU
P12;2.3/8"NU; Stop Pin 2.3/8"EU
P12;2.7/8"EU; Stop Pin 2.7/8"EU
P12;R15/16"-5/8"
P14/ R1.3/8"-1"
P14/special length
P14; C1"
P14; C1.1/8"
P14; C7/8"
P14; R1.3/16"-7/8"
P144-14M-40-E HTD SPKT
P144-14M-85-F HTD SPKT
P16; C7/8"
P168-14M-40-3020 HT250 SPKT
P168-14M-55-3020 HT250 SPKT
P192-14M-55-3535 HT250 SPKT 307
P192-14M-85-4040 HT250 SPKT
P22-8M-20-1108 HT250 SPKT
P28-14M-40-2012
P28-14M-55-2012 HT250
P28-14M-55-SK HTD SPKT
P29-14M-40-SK HTD SPKT
P29-14M-55-2012 HT250 SPKT
P3
P3/TEST ACC.NDB147
P3; 2.7/8"NU; Stop Pin 2.7/8"NU
P3;2.3/8"NU; Stop Pin 2.3/8"NU
P3;2.7/8"NU; Stop Pin 2.7/8"NU
P36-14M-40-SF HTD SPKT
P36-14M-85-SF HTD SPKT
P38-14M-55-2517 HT250 SPKT
P4
P4/special length
P4; 1.66"NU; Stop Pin 1.66"NU
P4; R1.3/16"-7/8"
P4;2.3/8"NU; Stop Pin 2.3/8"NU
